Country,Cases,Deaths,UpdateTime
UnitedArabEmirates,8,0,6/29/20099:00
UnitedKingdom,4250,1,6/29/20099:00
     Guernsey,CrownDependency,1,0,6/29/20099:00
     IsleofMan,CrownDependency,1,0,6/29/20099:00
     Jersey,CrownDependency,8,0,6/29/20099:00
UnitedStatesofAmerica,27717,127,6/29/20099:00
Uruguay,195,0,6/29/20099:00
Vanuatu,2,0,6/29/20099:00
Venezuela,172,0,6/29/20099:00
VietNam,84,0,6/29/20099:00
WestBankandGazaStrip,9,0,6/29/20099:00
Yemen,6,0,6/29/20099:00
Algeria,2,0,6/26/20097:00
AntiguaandBarbuda,2,0,6/26/20097:00
Argentina,1391,21,6/26/20097:00
Australia,3280,3,6/26/20097:00
Austria,12,0,6/26/20097:00
Bahamas,4,0,6/26/20097:00
Bahrain,15,0,6/26/20097:00
Bangladesh,1,0,6/26/20097:00
Barbados,10,0,6/26/20097:00
Belgium,36,0,6/26/20097:00
Bermuda,UKOT,1,0,6/26/20097:00
Bolivia,47,0,6/26/20097:00
Brazil,399,0,6/26/20097:00
BritishVirginIslands,UKOT,1,0,6/26/20097:00
BruneiDarussalam,11,0,6/26/20097:00
Bulgaria,7,0,6/26/20097:00
Cambodia,5,0,6/26/20097:00
Canada,6732,19,6/26/20097:00
CapVerde,3,0,6/26/20097:00
CaymanIslands,UKOT,9,0,6/26/20097:00
Chile,5186,7,6/26/20097:00
China,1089,0,6/26/20097:00
Colombia,72,2,6/26/20097:00
CostaRica,222,1,6/26/20097:00
Coted'Ivoire,2,0,6/26/20097:00
Cuba,34,0,6/26/20097:00
Cyprus,9,0,6/26/20097:00
CzechRepublic,9,0,6/26/20097:00
Denmark,41,0,6/26/20097:00
Dominica,1,0,6/26/20097:00
DominicanRepublic,108,2,6/26/20097:00
Ecuador,125,0,6/26/20097:00
Egypt,43,0,6/26/20097:00
ElSalvador,160,0,6/26/20097:00
Estonia,8,0,6/26/20097:00
Ethiopia,2,0,6/26/20097:00
Fiji,2,0,6/26/20097:00
Finland,26,0,6/26/20097:00
France,191,0,6/26/20097:00
    FrenchPolynesia,FOC,1,0,6/26/20097:00
    Martinique,FOC,2,0,6/26/20097:00
Germany,333,0,6/26/20097:00
Greece,73,0,6/26/20097:00
Guatemala ,254,2,6/26/20097:00
Honduras,118,1,6/26/20097:00
Hungary,8,0,6/26/20097:00
Iceland,4,0,6/26/20097:00
India,64,0,6/26/20097:00
Indonesia,2,0,6/26/20097:00
Iran,1,0,6/26/20097:00
Ireland,29,0,6/26/20097:00
Israel,405,0,6/26/20097:00
Italy,102,0,6/26/20097:00
Jamaica,19,0,6/26/20097:00
Japan,1049,0,6/26/20097:00
Jordan,15,0,6/26/20097:00
Korea,Republicof,142,0,6/26/20097:00
Kuwait,30,0,6/26/20097:00
Laos,3,0,6/26/20097:00
Latvia,1,0,6/26/20097:00
Lebanon,25,0,6/26/20097:00
Luxembourg,3,0,6/26/20097:00
Malaysia,68,0,6/26/20097:00
Mexico,8279,116,6/26/20097:00
Montenegro,1,0,6/26/20097:00
Morocco,11,0,6/26/20097:00
Netherlands,116,0,6/26/20097:00
     NetherlandsAntilles,Curaçao*,3,0,6/26/20097:00
     NetherlandsAntilles,SintMaarten,1,0,6/26/20097:00
NewZealand,453,0,6/26/20097:00
Nicaragua,265,0,6/26/20097:00
Norway,22,0,6/26/20097:00
Oman,3,0,6/26/20097:00
Panama,358,0,6/26/20097:00
PapuaNewGuinea,1,0,6/26/20097:00
Paraguay,79,0,6/26/20097:00
Peru,252,0,6/26/20097:00
Philippines,445,1,6/26/20097:00
Poland,13,0,6/26/20097:00
Portugal,7,0,6/26/20097:00
Qatar,10,0,6/26/20097:00
Romania,19,0,6/26/20097:00
Russia,3,0,6/26/20097:00
Samoa,1,0,6/26/20097:00
SaudiArabia,48,0,6/26/20097:00
Serbia,2,0,6/26/20097:00
Singapore,315,0,6/26/20097:00
Slovakia,7,0,6/26/20097:00
Slovenia,3,0,6/26/20097:00
SouthAfrica,1,0,6/26/20097:00
Spain,541,0,6/26/20097:00
SriLanka,7,0,6/26/20097:00
Suriname,11,0,6/26/20097:00
Sweden,61,0,6/26/20097:00
Switzerland,47,0,6/26/20097:00
Thailand,774,0,6/26/20097:00
TrinidadandTobago,25,0,6/26/20097:00
Tunisia,2,0,6/26/20097:00
Turkey,26,0,6/26/20097:00
Ukraine,1,0,6/26/20097:00
UnitedArabEmirates,7,0,6/26/20097:00
UnitedKingdom,3597,1,6/26/20097:00
     Guernsey,CrownDependency,1,0,6/26/20097:00
     IsleofMan,CrownDependency,1,0,6/26/20097:00
     Jersey,CrownDependency,8,0,6/26/20097:00
UnitedStatesofAmerica,21449,87,6/26/20097:00
Uruguay,195,0,6/26/20097:00
Vanuatu,2,0,6/26/20097:00
Venezuela,153,0,6/26/20097:00
VietNam,63,0,6/26/20097:00
WestBankandGazaStrip,9,0,6/26/20097:00
Yemen,6,0,6/26/20097:00
GrandTotal,59814,263,6/26/20097:00
Algeria,2,0,6/24/20097:00
AntiguaandBarbuda,2,0,6/24/20097:00
Argentina,1213,7,6/24/20097:00
Australia,2857,2,6/24/20097:00
Austria,12,0,6/24/20097:00
Bahamas,4,0,6/24/20097:00
Bahrain,15,0,6/24/20097:00
Bangladesh,1,0,6/24/20097:00
Barbados,5,0,6/24/20097:00
Belgium,30,0,6/24/20097:00
Bermuda,UKOT,1,0,6/24/20097:00
Bolivia,44,0,6/24/20097:00
Brazil,334,0,6/24/20097:00
BritishVirginIslands,UKOT,1,0,6/24/20097:00
BruneiDarussalam,4,0,6/24/20097:00
Bulgaria,5,0,6/24/20097:00
Cambodia,1,0,6/24/20097:00
Canada,6457,15,6/24/20097:00
CapVerde,3,0,6/24/20097:00
CaymanIslands,UKOT,7,0,6/24/20097:00
Chile,4315,4,6/24/20097:00
China,906,0,6/24/20097:00
Colombia,71,2,6/24/20097:00
CostaRica,189,1,6/24/20097:00
Coted'Ivoire,2,0,6/24/20097:00
Cuba,15,0,6/24/20097:00
Cyprus,5,0,6/24/20097:00
CzechRepublic,7,0,6/24/20097:00
Denmark,34,0,6/24/20097:00
Dominica,1,0,6/24/20097:00
DominicanRepublic,108,2,6/24/20097:00
Ecuador,115,0,6/24/20097:00
Egypt,40,0,6/24/20097:00
ElSalvador,160,0,6/24/20097:00
Estonia,5,0,6/24/20097:00
Ethiopia,2,0,6/24/20097:00
Fiji,2,0,6/24/20097:00
Finland,26,0,6/24/20097:00
France,171,0,6/24/20097:00
    FrenchPolynesia,FOC,1,0,6/24/20097:00
    Martinique,FOC,2,0,6/24/20097:00
Germany,301,0,6/24/20097:00
Greece,58,0,6/24/20097:00
Guatemala ,235,1,6/24/20097:00
Honduras,118,0,6/24/20097:00
Hungary,7,0,6/24/20097:00
Iceland,4,0,6/24/20097:00
India,64,0,6/24/20097:00
Ireland,23,0,6/24/20097:00
Israel,375,0,6/24/20097:00
Italy,96,0,6/24/20097:00
Jamaica,19,0,6/24/20097:00
Japan,893,0,6/24/20097:00
Jordan,15,0,6/24/20097:00
Korea,Republicof,115,0,6/24/20097:00
Kuwait,26,0,6/24/20097:00
Laos,3,0,6/24/20097:00
Latvia,1,0,6/24/20097:00
Lebanon,25,0,6/24/20097:00
Luxembourg,3,0,6/24/20097:00
Malaysia,68,0,6/24/20097:00
Mexico,7847,115,6/24/20097:00
Montenegro,1,0,6/24/20097:00
Morocco,9,0,6/24/20097:00
Netherlands,110,0,6/24/20097:00
     NetherlandsAntilles,Curaçao*,3,0,6/24/20097:00
     NetherlandsAntilles,SintMaarten,1,0,6/24/20097:00
NewZealand,386,0,6/24/20097:00
Nicaragua,220,0,6/24/20097:00
Norway,22,0,6/24/20097:00
Oman,3,0,6/24/20097:00
Panama,330,0,6/24/20097:00
PapuaNewGuinea,1,0,6/24/20097:00
Paraguay,58,0,6/24/20097:00
Peru,217,0,6/24/20097:00
Philippines,445,1,6/24/20097:00
Poland,13,0,6/24/20097:00
Portugal,6,0,6/24/20097:00
Qatar,10,0,6/24/20097:00
Romania,19,0,6/24/20097:00
Russia,3,0,6/24/20097:00
